Save for Later


134 seconds
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
1962,19660824:0900,14.9,24,7.3,24,9.2,24,-,-,-,D
1962,19660825:0900,14.9,24,9.2,24,5.0,24,-,-,-,D
1962,19660826:0900,16.1,24,10.0,24,8.8,24,-,-,-,D
1962,19660827:0900,13.9,24,9.9,24,9.8,24,-,-,-,D
1962,19660828:0900,14.1,24,6.9,24,3.1,24,-,-,-,D
1962,19660829:0900,16.0,24,8.9,24,7.2,24,-,-,-,D
1962,19660830:0900,14.0,24,8.3,24,6.6,24,-,-,-,D
1962,19660831:0900,12.8,24,4.1,24,0.4,24,-,-,-,D
1962,19660901:0900,11.1,24,2.4,24,-0.7,24,-,-,-,D
1962,19660902:0900,13.1,24,3.0,24,-1.6,24,-,-,-,D
1962,19660903:0900,14.4,24,4.6,24,-1.1,24,-,-,-,D
1962,19660904:0900,15.6,24,7.4,24,4.7,24,-,-,-,D
1962,19660905:0900,14.3,24,10.7,24,10.0,24,-,-,-,D
1962,19660906:0900,14.2,24,11.1,24,10.0,24,-,-,-,D
1962,19660907:0900,15.1,24,10.4,24,7.4,24,-,-,-,D
1962,19660908:0900,15.7,24,10.6,24,5.9,24,-,-,-,D
1962,19660909:0900,16.6,24,10.7,24,10.2,24,-,-,-,D
1962,19660910:0900,15.7,24,7.3,24,6.1,24,-,-,-,D
1962,19660911:0900,12.9,24,4.3,24,-0.6,24,-,-,-,D
1962,19660912:0900,13.5,24,2.8,24,-1.4,24,-,-,-,D
1962,19660913:0900,14.4,24,7.2,24,5.9,24,-,-,-,D
1962,19660914:0900,14.9,24,8.3,24,4.3,24,-,-,-,D
1962,19660915:0900,15.6,24,7.9,24,5.4,24,-,-,-,D
1962,19660916:0900,15.4,24,7.3,24,4.3,24,-,-,-,D
1962,19660917:0900,16.8,24,7.9,24,2.8,24,-,-,-,D
1962,19660918:0900,17.1,24,12.0,24,9.3,24,-,-,-,D
1962,19660919:0900,16.4,24,12.9,24,12.6,24,-,-,-,D
1962,19660920:0900,16.1,24,11.4,24,10.4,24,-,-,-,D
1962,19660921:0900,16.7,24,9.4,24,7.9,24,-,-,-,D
1962,19660922:0900,17.9,24,10.9,24,8.8,24,-,-,-,D
